100,.000387000000000
125,.000485000000000
150,.000776000000000
175,.001002000000000
200,.001225000000000
225,.001966000000000
250,.002285000000000
275,.003045000000000
300,.003837000000000
325,.005521000000000
350,.005320000000000
375,.006567000000000
400,.007508000000000
425,.010373000000000
450,.010915000000000
475,.013885000000000
500,.013946000000000
525,.017659000000000
550,.020188000000000
575,.024719000000000
600,.025312000000000
625,.031359000000000
650,.035399000000000
675,.036514000000000
700,.037705000000000
725,.044814000000000
750,.059449000000000
775,.059835000000001
800,.060823000000000
825,.093162000000000
850,.093694000000001
875,.105501000000000
900,.097790000000000
925,.103505999999999
950,.121984999999999
975,.125026000000002
1000,.124644999999999
1025,.144849000000001
1050,.150263000000002
1075,.158161000000000
1100,.170423000000000
1125,.179608999999999
1150,.183223000000002
1175,.187271000000003
1200,.182596000000000
1225,.265180999999998
1250,.262138000000000
1275,.241796000000001
1300,.255913000000000
1325,.267994999999999
1350,.274780000000000
1375,.310820000000000
1400,.297581000000001
1425,.334151000000006
1450,.366882000000004
1475,.416448000000003
1500,.359950999999995
1525,.411687999999998
1550,.440513999999993
1575,.447456000000003
1600,.420934000000003
1625,.479175000000012
1650,.518377999999998
1675,.555722000000003
1700,.526845000000009
1725,.621443000000028
1750,.624618999999996
1775,.658416000000017
1800,.659183000000013
1825,.709012000000001
1850,.732258999999999
1875,.801097999999996
1900,.724655999999982
1925,.809419999999989
1950,.848519000000010
1975,.925197999999995
